"filename", "language", "JavaScript", "JSON", "TypeScript", "comment", "blank", "total"
"e:\fengyuclockbot\consumers\Consumer.js", "JavaScript", 15, 0, 0, 1, 2, 18
"e:\fengyuclockbot\consumers\achieveRaider.js", "JavaScript", 0, 0, 0, 0, 1, 1
"e:\fengyuclockbot\consumers\achieveRaiderCosumer.js", "JavaScript", 22, 0, 0, 0, 1, 23
"e:\fengyuclockbot\consumers\blessConsumer.js", "JavaScript", 34, 0, 0, 0, 0, 34
"e:\fengyuclockbot\consumers\broadCastConsumer.js", "JavaScript", 25, 0, 0, 0, 2, 27
"e:\fengyuclockbot\consumers\cdConsumer.js", "JavaScript", 38, 0, 0, 0, 1, 39
"e:\fengyuclockbot\consumers\commonQuesConsumer.js", "JavaScript", 44, 0, 0, 0, 0, 44
"e:\fengyuclockbot\consumers\famousConsumer.js", "JavaScript", 49, 0, 0, 0, 0, 49
"e:\fengyuclockbot\consumers\fourKingsConsumer.js", "JavaScript", 33, 0, 0, 0, 0, 33
"e:\fengyuclockbot\consumers\helpConsumer.js", "JavaScript", 25, 0, 0, 0, 0, 25
"e:\fengyuclockbot\consumers\luckConsumer.js", "JavaScript", 36, 0, 0, 0, 0, 36
"e:\fengyuclockbot\consumers\priceConsumer.js", "JavaScript", 98, 0, 0, 2, 0, 100
"e:\fengyuclockbot\consumers\raiderConsumer.js", "JavaScript", 43, 0, 0, 0, 0, 43
"e:\fengyuclockbot\consumers\randomConsumer.js", "JavaScript", 35, 0, 0, 0, 0, 35
"e:\fengyuclockbot\consumers\scoreRaiderConsumer.js", "JavaScript", 19, 0, 0, 0, 0, 19
"e:\fengyuclockbot\consumers\seaLineConsumer.js", "JavaScript", 27, 0, 0, 0, 0, 27
"e:\fengyuclockbot\consumers\versionKingsConsumer.js", "JavaScript", 42, 0, 0, 0, 0, 42
"e:\fengyuclockbot\consumers\welcomeMessageConsumer.js", "JavaScript", 25, 0, 0, 0, 0, 25
"e:\fengyuclockbot\logAnalysis\curseCount.js", "JavaScript", 31, 0, 0, 0, 2, 33
"e:\fengyuclockbot\logAnalysis\fishCount.js", "JavaScript", 0, 0, 0, 0, 1, 1
"e:\fengyuclockbot\logAnalysis\gameCount.js", "JavaScript", 33, 0, 0, 0, 2, 35
"e:\fengyuclockbot\logAnalysis\godCount.js", "JavaScript", 34, 0, 0, 0, 1, 35
"e:\fengyuclockbot\logAnalysis\luckCount.js", "JavaScript", 37, 0, 0, 0, 2, 39
"e:\fengyuclockbot\logAnalysis\useCount.js", "JavaScript", 28, 0, 0, 0, 1, 29
"e:\fengyuclockbot\package-lock.json", "JSON", 0, 655, 0, 0, 1, 656
"e:\fengyuclockbot\package.json", "JSON", 0, 25, 0, 0, 1, 26
"e:\fengyuclockbot\resources\commonQues.js", "JavaScript", 12, 0, 0, 0, 0, 12
"e:\fengyuclockbot\resources\data.js", "JavaScript", 18524, 0, 0, 0, 0, 18524
"e:\fengyuclockbot\resources\famous (1).json", "JSON", 0, 75, 0, 0, 0, 75
"e:\fengyuclockbot\resources\famousData.js", "JavaScript", 78, 0, 0, 0, 0, 78
"e:\fengyuclockbot\resources\gameLists.js", "JavaScript", 58, 0, 0, 1, 0, 59
"e:\fengyuclockbot\resources\item.js", "JavaScript", 2, 0, 0, 0, 0, 2
"e:\fengyuclockbot\resources\nickName.js", "JavaScript", 61, 0, 0, 0, 0, 61
"e:\fengyuclockbot\resources\raider.js", "JavaScript", 249, 0, 0, 0, 0, 249
"e:\fengyuclockbot\resources\raider.json", "JSON", 0, 248, 0, 0, 0, 248
"e:\fengyuclockbot\resources\seaLine.js", "JavaScript", 118, 0, 0, 0, 1, 119
"e:\fengyuclockbot\resources\versionKings.js", "JavaScript", 14, 0, 0, 0, 0, 14
"e:\fengyuclockbot\resources\weather\Weather.js", "JavaScript", 202, 0, 0, 4, 1, 207
"e:\fengyuclockbot\resources\weather\Weather.ts", "TypeScript", 0, 0, 204, 4, 22, 230
"e:\fengyuclockbot\resources\welcomeMessages.js", "JavaScript", 8, 0, 0, 0, 4, 12
"e:\fengyuclockbot\resources\zh-CN.js", "JavaScript", 85, 0, 0, 0, 1, 86
"e:\fengyuclockbot\server\server.js", "JavaScript", 95, 0, 0, 2, 8, 105
"e:\fengyuclockbot\stdFunc\createLuckInformation.js", "JavaScript", 118, 0, 0, 3, 1, 122
"e:\fengyuclockbot\stdFunc\fishCauculation.js", "JavaScript", 6, 0, 0, 78, 0, 84
"e:\fengyuclockbot\stdFunc\fullCauculation.js", "JavaScript", 5, 0, 0, 102, 0, 107
"e:\fengyuclockbot\stdFunc\results2cdmessages.js", "JavaScript", 46, 0, 0, 3, 0, 49
"e:\fengyuclockbot\stdFunc\seaFishing.js", "JavaScript", 152, 0, 0, 6, 0, 158
"e:\fengyuclockbot\stdFunc\sendGroupMessage.js", "JavaScript", 14, 0, 0, 1, 0, 15
"e:\fengyuclockbot\timeConsumer\fishAlarm.js", "JavaScript", 13, 0, 0, 1, 1, 15
"Total", "-", 20633, 1003, 204, 208, 57, 22105
